date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-12,0,1,1,0,0,2000,2000,0,0,679998000,679998000,0,,339999.0,339999.0,,-2000.0
2020-09-29,1,0,1,0,1000,0,1000,0,350000000,0,350000000,0,350000.0,350000.0,,,0.0
2020-09-26,0,1,1,0,0,1000,1000,0,0,420000000,420000000,0,,420000.0,420000.0,,-1000.0
2020-06-21,0,1,0,1,0,1000,0,1000,0,420000000,0,420000000,,,420000.0,420000.0,0.0
2020-03-10,2,1,0,1,1330,40000,0,41330,465500000,14000000000,0,14465500000,350000.0,,350000.0,350000.0,1330.0
2020-03-09,1,3,0,1,1000,55000,0,56000,350000000,19250000000,0,19600000000,350000.0,,350000.0,350000.0,1000.0
2020-03-07,4,7,0,1,9000,167670,0,176670,3150000000,58684500000,0,61834500000,350000.0,,350000.0,350000.0,9000.0
2020-03-04,0,2,0,1,0,17000,0,17000,0,5950000000,0,5950000000,,,350000.0,350000.0,0.0
2020-03-03,2,0,0,1,6000,0,0,6000,2100000000,0,0,2100000000,350000.0,,,350000.0,6000.0
2020-03-02,2,1,0,1,2000,10000,0,12000,700000000,3500000000,0,4200000000,350000.0,,350000.0,350000.0,2000.0
2020-03-01,1,0,0,1,3000,0,0,3000,1050000000,0,0,1050000000,350000.0,,,350000.0,3000.0
2020-02-29,2,0,0,1,2000,0,0,2000,700000000,0,0,700000000,350000.0,,,350000.0,2000.0
2020-02-26,3,3,0,1,4000,31000,0,35000,1400000000,10850000000,0,12250000000,350000.0,,350000.0,350000.0,4000.0
2020-02-25,0,1,0,1,0,1000,0,1000,0,350000000,0,350000000,,,350000.0,350000.0,0.0
