date,open,high,low,adjClose,value,volume,count,close
2020-06-28,180000.0,189000.0,180000.0,184380.0,326003480500,1768153,1938,189000.0
2020-06-29,193590.0,193590.0,193590.0,193590.0,169598004120,876068,1332,193590.0
2020-06-30,203260.0,203260.0,203260.0,198660.0,28894628560,142156,266,203260.0
2020-07-01,208590.0,208590.0,208590.0,205120.0,36795276000,176400,329,208590.0
2020-07-04,215370.0,215370.0,215370.0,215370.0,99761106960,463208,627,215370.0
2020-07-05,226130.0,226130.0,226130.0,226130.0,73270416470,324019,370,226130.0
2020-07-06,237430.0,237430.0,237430.0,232410.0,32150396300,135410,268,237430.0
2020-07-07,244030.0,244030.0,244030.0,243660.0,57601085230,236041,305,244030.0
2020-07-08,255840.0,255840.0,234060.0,251110.0,567725424390,2260901,5007,249000.0
2020-07-11,253000.0,0.0,0.0,253940.0,463122407150,1823734,5018,263660.0
2020-07-12,266630.0,266630.0,266630.0,260940.0,35305278190,132413,302,266630.0
2020-07-13,273980.0,273980.0,273980.0,272240.0,56972223140,207943,391,273980.0
2020-07-14,285850.0,285850.0,285850.0,285850.0,223447229900,781694,1608,285850.0
2020-07-15,300140.0,300140.0,290100.0,300100.0,877812504630,2925023,7781,300140.0
2020-07-18,300000.0,315100.0,285100.0,306120.0,734481396790,2399349,7800,315100.0
2020-07-22,321420.0,321420.0,321420.0,321420.0,118303452300,368065,850,321420.0
2020-07-25,337490.0,337490.0,337490.0,337490.0,88642423480,262652,350,337490.0
2020-07-26,354360.0,354360.0,354360.0,353300.0,79681035240,224859,335,354360.0
2020-07-27,370960.0,370960.0,370960.0,360930.0,38443326720,103632,314,370960.0
2020-07-28,378970.0,378970.0,378970.0,371320.0,52374411940,138202,356,378970.0
2020-07-29,389880.0,389880.0,389880.0,382560.0,56655022320,145314,466,389880.0
2020-08-01,401680.0,401680.0,401680.0,395380.0,64624688480,160886,344,401680.0
2020-08-02,375620.0,415140.0,375620.0,407140.0,59344560560,142957,380,415140.0
2020-08-03,427490.0,427490.0,427490.0,424950.0,89805816730,210077,417,427490.0
2020-08-04,446190.0,446190.0,446190.0,445690.0,104580689340,234386,363,446190.0
2020-08-05,467970.0,467970.0,423450.0,464560.0,1585962179360,3413918,12804,467970.0
2020-09-16,441340.0,441340.0,441340.0,441340.0,542865412260,1230039,5070,441340.0
2020-09-19,419280.0,419280.0,419280.0,419280.0,146101050960,348457,1895,419280.0
2020-09-20,398320.0,398320.0,398320.0,413060.0,26765909040,67197,622,398320.0
2020-09-21,392410.0,392410.0,392410.0,409590.0,14946504490,38089,417,392410.0
2020-09-22,389120.0,389120.0,389120.0,402500.0,30556815360,78528,523,389120.0
2020-09-23,382380.0,382380.0,382380.0,392780.0,41853785280,109456,792,382380.0
2020-09-26,373150.0,373150.0,373150.0,389040.0,17047357750,45685,361,373150.0
2020-09-27,369590.0,369590.0,369590.0,387710.0,6083081810,16459,174,369590.0
2020-09-28,368330.0,368330.0,368330.0,386800.0,4132662600,11220,127,368330.0
2020-09-29,367460.0,367460.0,367460.0,384250.0,11648114540,31699,308,367460.0
2020-09-30,365040.0,365040.0,365040.0,378550.0,26008004880,71247,458,365040.0
2020-10-03,359630.0,359630.0,359630.0,367880.0,48666570120,135324,792,359630.0
2020-10-04,349490.0,349490.0,349490.0,362730.0,23480835140,67186,517,349490.0
2020-10-05,344600.0,344600.0,344600.0,360540.0,10000636600,29021,357,344600.0
2020-10-06,342520.0,342520.0,342520.0,342520.0,112620576000,328800,1342,342520.0
